snapshot_at,id,name,city,province,status,message,updated_at,expected_reopen
2026-08-08T15:33:00.893Z,bc_houstonhealthcentre,Houston Health Centre,Houston,BC,closed,Closed — opens at 08:30,2026-08-08 15:26:35,
2026-08-08T15:33:00.893Z,bc_hudsonshopehealthce,Hudson's Hope Health Centre,Hudson's Hope,BC,closed,Closed — opens Monday 08:30,2026-08-08 15:26:35,
2026-08-08T15:33:00.893Z,bc_stewarthealthcentre,Stewart Health Centre,Stewart,BC,closed,Closed — opens Monday 08:00,2026-08-08 15:26:35,
2026-08-08T15:33:00.893Z,bc_stikinehealthcentre,Stikine Health Centre,Dease Lake,BC,closed,Closed — opens Monday 08:30,2026-08-08 15:26:35,
2026-08-08T15:33:00.893Z,bc_pembertonhealthcentr,Pemberton Health Centre,Pemberton,BC,closed,,2026-08-08 15:26:33,
2026-08-08T15:33:00.893Z,ns_fishermensmemorialh,Fishermen's Memorial Hospital,Lunenburg,NS,closed,"Fishermen's Memorial Hospital emergency department will close at noon Friday, Aug. 7 and will reopen Sunday, Aug. 9 at 8 a.m. Virtual urgent care is open every day from 8 a.m. to 7 p.m., even when emergency department is closed.",2026-08-08 15:26:30,2026-08-09T11:00:00.000Z
2026-08-08T15:33:00.893Z,sk_wilkieanddistricthea,Wilkie and District Health Centre,Wilkie,SK,closed,Emergency services are temporarily disrupted at Wilkie and District Health Centre until further notice.,2026-08-08 15:26:29,
2026-08-08T15:33:00.893Z,sk_wolseleymemorialinte,Wolseley Memorial Integrated Health Centre,Wolseley,SK,disruption,Emergency services are temporarily disrupted,2026-08-08 15:26:29,
2026-08-08T15:33:00.893Z,sk_kamsackhospitalandnu,Kamsack Hospital and Nursing Home,Kamsack,SK,closed,Emergency services are temporarily disrupted at Kamsack Hospital and District Nursing Home,2026-08-08 15:26:22,
2026-08-08T15:33:00.893Z,sk_broadviewhospital,Broadview Hospital,Broadview,SK,closed,Closed — opens Monday 07:00,2026-08-08 15:26:20,
