snapshot_at,id,name,city,province,status,message,updated_at,expected_reopen
2026-09-01T15:54:53.410Z,ns_easternmemorialhospi,Eastern Memorial Hospital,Canso,NS,disruption,"Eastern Memorial Hospital emergency department in Canso is temporarily closed and will reopen on Friday, September 4 at 12 p.m. (noon). Virtual urgent care is available onsite Monday and Tuesday from 8 a.m. to 6:45 p.m.; Wednesday from 8 a.m. to 2:30 p.m.; and Thursday to Sunday from 8 a.m. to 6:45 p.m.",2026-09-01 15:50:30,
2026-09-01T15:54:53.410Z,nl_connaigrepeninsulahe,Connaigre Peninsula Health Centre,Harbour Breton,NL,disruption,,2026-09-01 15:50:29,
2026-09-01T15:54:53.410Z,nl_baievertepeninsulahe,Baie Verte Peninsula Health Centre,Baie Verte,NL,disruption,,2026-09-01 15:50:28,
2026-09-01T15:54:53.410Z,mb_pinawahospital,Pinawa Hospital,Pinawa,MB,closed,Closed — opens Wednesday 09:00,2026-09-01 15:50:23,
2026-09-01T15:54:53.410Z,mb_elizabethmcrowememor,Elizabeth m. Crowe Memorial Hospital,Eriksdale,MB,closed,Closed — opens Thursday 09:00,2026-09-01 15:50:21,
2026-09-01T15:54:53.410Z,mb_glenborohealthdistri,Glenboro Health District Hospital,Glenboro,MB,closed,Closed — opens Saturday 08:00,2026-09-01 15:50:21,
2026-09-01T15:54:53.410Z,mb_hamiotadistricthealt,Hamiota District Health Centre,Hamiota,MB,closed,Closed — opens Friday 08:00,2026-09-01 15:50:21,
2026-09-01T15:54:53.410Z,mb_carberryplainhealthc,Carberry Plain Health Centre,Carberry,MB,closed,Closed — opens Wednesday 08:00,2026-09-01 15:50:20,
2026-09-01T15:54:53.410Z,bc_southokanagangeneral,South Okanagan General Hospital,Oliver,BC,closed,"from 5 p.m. today, Thursday, Aug. 27 to 7 a.m. on Friday, Aug. 28, 2026",2026-09-01 15:50:16,
2026-09-01T15:54:53.410Z,bc_nicolavalleyhealthce,Nicola Valley Health Centre,Merritt,BC,closed,"Emergency department temporarily closed. Reopening Tue, Sep 1, 11:59 p.m.",2026-09-01 15:50:15,2026-09-02T06:59:00.000Z
2026-09-01T15:54:53.410Z,ab_tofieldhealthcentre,Tofield Health Centre,Tofield,AB,disruption,"Decreased physician hours are covered by VEP. August 31 (8 pm) - September 1 (8 am), September 1 (8 pm) - September 2 (8 am), September 2 (8 pm) - September 3 (8 am), September 3 (8 pm) - September 4 (8 am), September 7 (8 pm) - September 8 (8 am), September 8 (8 pm) - September 9 (8 am), September 9 (8 pm) - September 10 (8 am), September 10 (8 pm) - September 11 (8 am) (Due to clinical personnel shortage)",2026-09-01 15:50:10,
2026-09-01T15:54:53.410Z,ab_grimshawberwynanddis,Grimshaw / Berwyn and District Community Health Centre,Grimshaw,AB,disruption,Emergency Department closed from 2100-0900 daily (Due to clinical personnel shortage),2026-09-01 15:50:06,
2026-09-01T15:54:53.410Z,ab_consorthospital,Consort Hospital,Consort,AB,closed,"Emergency department closed since August 2022 due to staffing shortages. During weekday daytime hours, nursing staff assess and redirect patients to surrounding emergency departments (e.g. Coronation). Call 911 for emergencies.",2026-09-01 15:50:04,
2026-09-01T15:54:53.410Z,ab_bowislandhealthcentr,Bow Island Health Centre,Bow Island,AB,disruption,Adjusted hours of operation: - Open Tuesday 0800 – 2000 - Open Wednesday 0800 – 2000 - Open Thursday 0800 – 2000 - Open 24 hours per day starting Fridays at 0700 through to Mondays at 2000 (Due to clinical personnel shortage),2026-09-01 15:50:03,
2026-09-01T15:54:53.410Z,ab_boylehealthcarecentr,Boyle Healthcare Centre,Boyle,AB,disruption,Temporary reduction in Emergency Department operation to 12 hours daily (closed from 2100 - 0900); 4/4 treatment spaces. (Due to clinical personnel shortage),2026-09-01 15:50:03,
